CLASS HABITAT-TYPE-GROUP
NAME B1
HABITAT-TYPES 170:171:172:320:322:323:324:330:350:370
CLIMAX-SPECIES DF:PP
SERAL-SPECIES DF:PP:LP:L:CW:MC
END

CLASS ALL-VEG-TYPES
947
PP,MTS,1,3,SUCCESSION:PP-DF/MMU/3:0:PP-MPB:PP/MEDIUM/2:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/MEDIUM/2:0,PP:380:150
PP,MTS,1,2,SUCCESSION:PP-DF/MMU/2:0:PP-MPB:PP/MEDIUM/2:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP/MEDIUM/2:0,PP:380:20
CW-MC,POLE,1,4,SUCCESSION:CW-MC/POLE2/4:0:MIXED-SEVERITY-FIRE:L-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:LIGHT-SEVERITY-FIRE:L-DF/SS/3:0,CW-MC:135:280
CW-MC,POLE,1,3,SUCCESSION:CW-MC/POLE2/4:0:MIXED-SEVERITY-FIRE:L-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:LIGHT-SEVERITY-FIRE:L-DF/SS/3:0,CW-MC:135:150
CW-MC,POLE,1,2,SUCCESSION:CW-MC/POLE2/3:0:MIXED-SEVERITY-FIRE:L-DF/SS/2:0:STAND-REPLACING-FIRE:CW-MC/SS/2:0:LIGHT-SEVERITY-FIRE:L-DF/SS/2:0,CW-MC:135:20
DF-LP,SS,3,4,SUCCESSION:DF-LP/SS4/4:0:MIXED-SEVERITY-FIRE:DF/SS3/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:DF-LP/SS3/3:0,DF-LP:60:300
DF-LP,SS,3,3,SUCCESSION:DF-LP/PTS/3:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:DF-LP/POLE/2:0,DF-LP:60:170
DF-LP,SS,3,2,SUCCESSION:DF-LP/PTS/3:0:MIXED-SEVERITY-FIRE:DF/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:DF-LP/POLE/2:0,DF-LP:60:40
LATE-SERAL,POLE,1,4,SUCCESSION:LATE-SERAL/PTS/4:0:MIXED-SEVERITY-FIRE:L-PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF-PP/POLE/3:0,LATE-SERAL:135:280:L-LP-DF-GF:222:372
LP,MEDIUM,3,3,SUCCESSION:LP/MEDIUM4/3:0:LIGHT-LP-MPB:LP/MEDIUM/3:0:MIXED-SEVERITY-FIRE:LP/MEDIUM/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:LP/MTS3/3:0:SEVERE-LP-MPB:NATIVE-FORBS/OPEN-HERB/1:0,LP:335:170
LATE-SERAL,POLE,1,3,SUCCESSION:LATE-SERAL/PTS/3:0:MIXED-SEVERITY-FIRE:L-DF-PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF-PP/POLE/2:0,LATE-SERAL:135:150:L-LP-DF-GF:183:180
LATE-SERAL,POLE,1,2,SUCCESSION:LATE-SERAL/PTS/2:0:MIXED-SEVERITY-FIRE:L-DF-PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-DF-PP/POLE/2:0,LATE-SERAL:135:20:L-LP-DF-GF:203:25
L-PP-LP,LMU,3,4,SUCCESSION:L-PP-LP/LMU4/4:0:LIGHT-LP-MPB:L-PP/LARGE/3:0:PP-MPB:L-PP/LARGE/2:0:MIXED-SEVERITY-FIRE:L-PP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-PP-LP/LARGE/3:0:SEVERE-LP-MPB:L-PP/LARGE/2:0,L-PP-LP:710:300
L-PP-LP,LMU,3,3,SUCCESSION:L-PP-LP/LMU4/3:0:LIGHT-LP-MPB:L-PP/LARGE/3:0:PP-MPB:L-PP/LARGE/2:0:MIXED-SEVERITY-FIRE:L-PP/LARGE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:L-PP-LP/LARGE/2:0:SEVERE-LP-MPB:L-PP/LARGE/2:0,L-PP-LP:710:170
PP-DF,PMU,1,4,SUCCESSION:PP-DF/MMU/4:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP-DF/PMU/2:0:ROOT-DISEASE:PP-DF/PMU/2:0,PP-DF:260:280
PP-DF,PMU,1,3,SUCCESSION:PP-DF/MMU/3:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP-DF/PMU/2:0:ROOT-DISEASE:PP-DF/PMU/2:0,PP-DF:260:150
PP-DF,PMU,1,2,SUCCESSION:PP-DF/MMU/2:0:MIXED-SEVERITY-FIRE:PP/POLE/2:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:PP-DF/PMU/2:0:ROOT-DISEASE:PP-DF/PMU/2:0,PP-DF:260:20
CW-MC,MEDIUM,1,4,SUCCESSION:CW-MC/MEDIUM2/4:0:MIXED-SEVERITY-FIRE:L-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:LIGHT-SEVERITY-FIRE:L-DF/SS/3:0,CW-MC:315:280
CW-MC,MEDIUM,1,3,SUCCESSION:CW-MC/MEDIUM2/4:0:MIXED-SEVERITY-FIRE:L-DF/SS/3:0:STAND-REPLACING-FIRE:CW-MC/SS/3:0:LIGHT-SEVERITY-FIRE:L-DF/SS/3:0,CW-MC:315:150
CW-MC,MEDIUM,1,2,SUCCESSION:CW-MC/MEDIUM2/3:0:MIXED-SEVERITY-FIRE:L-DF/SS/2:0:STAND-REPLACING-FIRE:CW-MC/SS/2:0:LIGHT-SEVERITY-FIRE:L-DF/SS/2:0,CW-MC:315:20
DF-GF,MMU,1,4,SUCCESSION:DF-GF/MMU2/4:0:MIXED-SEVERITY-FIRE:DF/MEDIUM/3:0:STAND-REPLACING-FIRE:NATIVE-FORBS/OPEN-HERB/1:0:LIGHT-SEVERITY-FIRE:DF-GF/MEDIUM/4:0:ROOT-DISEASE:DF/MMU/2:0,DF-LP:349:352:DF-GF:455:280
